구분,시설명,주소,위도,경도,면적(제곱미터),수용(명),기준일자
학교,평일초등학교,경기도 평택시 평남로 626(합정동),36.989508 ,127.107231 ,498 ,191 ,2025-02-21
학교,합정초등학교,경기도 평택시 평택4로 11(합정동),36.989433 ,127.097772 ,600 ,230 ,2025-02-21
학교,평택초등학교,경기도 평택시 원평2로 4(평택동),36.989507 ,127.081252 ,934 ,359 ,2025-02-21
"공공시설(관공서,국·국립도서관,시·도(시군구)민 회관 등)",통복동행정복지센터,경기도 평택시 통복시장로48번길 41(통복동),37.000798 ,127.087272 ,112 ,40 ,2025-02-21
학교,비전초등학교,경기도 평택시 비전1로57번길 63(비전동),37.001323 ,127.093611 ,726 ,279 ,2025-02-21
학교,이화초등학교,경기도 평택시 평남로 906(비전동),37.003520 ,127.108180 ,914 ,351 ,2025-02-21
학교,평택마이스터고,경기도 평택시 중앙1로 61(비전동),36.998101 ,127.089382 ,984 ,378 ,2025-02-21
"공공시설(관공서,국·국립도서관,시·도(시군구)민 회관 등)",남부복지타운,경기도 평택시 평택5로 220(비전동),36.998586 ,127.102134 ,734 ,282 ,2025-02-21
학교,소사벌초등학교,경기도 평택시 동부공원로 59(비전동),36.995258 ,127.116617 ,804 ,309 ,2025-02-21
학교,현촌초등학교,경기도 평택시 현촌3길 10(용이동),37.000374 ,127.131850 ,736 ,283 ,2025-02-21
학교,세교초등학교,경기도 평택시 세교공원로 32(세교동),37.002204 ,127.083054 ,576 ,221 ,2025-02-21
학교,중앙초등학교,경기도 평택시 세교로 11(세교동),37.002280 ,127.077978 ,585 ,177 ,2025-02-21
학교,동삭초등학교,경기도 평택시 동삭로 370(동삭동),37.018651 ,127.097503 ,394 ,151 ,2025-02-21
학교,고덕초등학교,경기도 평택시 함박산로 161(고덕동),37.053241 ,127.048010 ,716 ,275 ,2025-02-21
학교,종덕초등학교,경기도 평택시 고덕국제2로 111(고덕동),37.057251 ,127.016341 ,526 ,202 ,2025-02-21
