연번,구분,도로명주소,지번주소,위도,경도,면적(m2)
135,경로당+무더위심터,충청북도 옥천군 안내면 도이길 75,충청북도 옥천군 안내면 도이리 161-3,36.4036014,127.6749898,99.63
136,경로당+무더위심터,충청북도 옥천군 안내면 동대1길 15-2,충청북도 옥천군 안내면 동대리 157-1,36.40881959,127.6700174,135.94
137,경로당+무더위심터,충청북도 옥천군 안내면 동대5길 39-1,충청북도 옥천군 안내면 동대리 337-1,36.41377266,127.6677878,70.8
138,경로당+무더위심터,충청북도 옥천군 안내면 동대4길 19,충청북도 옥천군 안내면 동대리 232-1,36.41224034,127.6715628,69.31
139,경로당+무더위심터,충청북도 옥천군 안내면 서대1길 22,충청북도 옥천군 안내면 서대리 540,36.40902809,127.6615699,84
140,경로당+무더위심터,충청북도 옥천군 안내면 방하목로 79,충청북도 옥천군 안내면 서대리 366-5,36.41163629,127.6637795,99.6
141,경로당+무더위심터,충청북도 옥천군 안내면 오덕2길 18-1,충청북도 옥천군 안내면 오덕리 369-6,36.39252327,127.7173442,89.84
142,경로당+무더위심터,충청북도 옥천군 안내면 오덕1길 27-4,충청북도 옥천군 안내면 오덕리 732-1,36.39600979,127.6960305,108
143,경로당+무더위심터,충청북도 옥천군 안내면 인포1길 11,충청북도 옥천군 안내면 인포리 283-43,36.37591281,127.6547532,96.15
144,경로당+무더위심터,충청북도 옥천군 안내면 인포2길 67-6,충청북도 옥천군 안내면 인포리 67-5,36.37187808,127.6601514,53.22
145,경로당+무더위심터,충청북도 옥천군 안내면 장계1길 1-7,충청북도 옥천군 안내면 장계리 78-1,36.37254155,127.6335144,82.82
146,경로당+무더위심터,충청북도 옥천군 안내면 방하목로1길 25,충청북도 옥천군 안내면 방하목리 154,36.43314138,127.6659806,76
147,경로당+무더위심터,충청북도 옥천군 안내면 도율길 9,충청북도 옥천군 안내면 도율리 261,36.39945368,127.6429062,213.46
148,경로당+무더위심터,충청북도 옥천군 안내면 안내수한로 291,충청북도 옥천군 안내면 도율리 137,36.40999986,127.6421453,131.8
149,경로당+무더위심터,충청북도 옥천군 안내면 월외2길 4,충청북도 옥천군 안내면 월외리 315-1,36.42488121,127.6450948,113.82
150,경로당+무더위심터,충청북도 옥천군 안내면 용촌2길 16,충청북도 옥천군 안내면 용촌리 68-2,36.42727909,127.6281423,67.86
151,경로당,충청북도 옥천군 안내면 용촌1길 4-2,충청북도 옥천군 안내면 용촌리 268-1,36.41507794,127.6250283,82.18
152,경로당+무더위심터,충청북도 옥천군 안내면 답양2길 11,충청북도 옥천군 안내면 답양리 288-3,36.39702275,127.6072423,120.1
153,경로당+무더위심터,충청북도 옥천군 청성면 산계길 42,충청북도 옥천군 청성면 산계리 217-1,36.32663044,127.7599163,97.5
154,경로당+무더위심터,충청북도 옥천군 청성면 산계길 81,충청북도 옥천군 청성면 산계리 166-1,36.32970857,127.7592878,97.2
155,경로당+무더위심터,충청북도 옥천군 청성면 산계2길 102,충청북도 옥천군 청성면 산계리 633,36.32633501,127.7514837,72.8
156,경로당+무더위심터,충청북도 옥천군 청성면 거포3길 8,충청북도 옥천군 청성면 거포리 589-2,36.33129461,127.7371491,50.49
157,경로당,충청북도 옥천군 청성면 거포2길 17,충청북도 옥천군 청성면 거포리 361-7,36.33394886,127.7391957,83.36
158,경로당+무더위심터,충청북도 옥천군 청성면 장수로1길 44,충청북도 옥천군 청성면 장수리 140,36.31436099,127.7456573,150.42
159,경로당+무더위심터,충청북도 옥천군 청성면 장수로2길 36-1,충청북도 옥천군 청성면 장수리 535,36.30599889,127.735463,84.64
160,경로당+무더위심터,충청북도 옥천군 청성면 장수로 552-3,충청북도 옥천군 청성면 장수리 319-1,36.32315792,127.7244445,66.5
161,경로당+무더위심터,충청북도 옥천군 청성면 궁촌길 19-2,충청북도 옥천군 청성면 궁촌리 330-1,36.30889987,127.7575791,97.92
162,경로당+무더위심터,충청북도 옥천군 청성면 소서길 34,충청북도 옥천군 청성면 소서리 36,36.3158212,127.7715627,182.01
163,경로당+무더위심터,충청북도 옥천군 청성면 소서길 243,충청북도 옥천군 청성면 소서리 400,36.30097532,127.7749545,108.8
164,경로당+무더위심터,충청북도 옥천군 청성면 삼남1길 23,충청북도 옥천군 청성면 삼남리 176-6,36.29603056,127.7540224,84.06
165,경로당,충청북도 옥천군 청성면 삼남2길 90-1,충청북도 옥천군 청성면 삼남리 561-1,36.28653655,127.7418708,83.13
166,경로당+무더위심터,충청북도 옥천군 청성면 조천길 213,충청북도 옥천군 청성면 조천리 283-1,36.28310888,127.7578205,84
167,경로당+무더위심터,충청북도 옥천군 청성면 묘금1길 127,충청북도 옥천군 청성면 묘금리 488-1,36.27658984,127.7130521,76.5
168,경로당+무더위심터,충청북도 옥천군 청성면 묘금3길 32,충청북도 옥천군 청성면 묘금리 66-5,36.27546426,127.7335857,84.95
169,경로당+무더위심터,충청북도 옥천군 청성면 묘금2길 39,충청북도 옥천군 청성면 묘금리 119-2,36.26930928,127.7146665,168
170,경로당+무더위심터,충청북도 옥천군 청성면 고당로3길 16-4,충청북도 옥천군 청성면 고당리 78-6,36.29753418,127.6949481,86.76
171,경로당+무더위심터,충청북도 옥천군 청성면 합금로1길 14,충청북도 옥천군 청성면 합금리 475-1,36.29449555,127.6730161,197.04
172,경로당,충청북도 옥천군 청성면 양저로1길 14,충청북도 옥천군 청성면 양저리 303,36.29420411,127.7169838,79.6
173,경로당+무더위심터,충청북도 옥천군 청성면 양저로 216-52,충청북도 옥천군 청성면 양저리 76,36.29308649,127.7241147,110.14
174,경로당+무더위심터,충청북도 옥천군 청성면 양저로 538-17,충청북도 옥천군 청성면 양저리 431-2,36.30459059,127.7045727,13.22
175,경로당+무더위심터,충청북도 옥천군 청성면 구음2길 16,충청북도 옥천군 청성면 구음리 368-2,36.32861235,127.7133803,74.4
176,경로당+무더위심터,충청북도 옥천군 청성면 구음1길 31,충청북도 옥천군 청성면 구음리 564-5,36.32485883,127.7149623,64.97
177,경로당+무더위심터,충청북도 옥천군 청성면 구음길 151,충청북도 옥천군 청성면 구음리 241-4,36.33289045,127.7134685,98.34
178,경로당+무더위심터,충청북도 옥천군 청성면 대안로2길 97,충청북도 옥천군 청성면 대안리 840,36.3537455,127.7170633,76
179,경로당+무더위심터,충청북도 옥천군 청성면 대안로3길 17-4,충청북도 옥천군 청성면 대안리 616-1,36.36479233,127.7211696,87.6
180,경로당+무더위심터,충청북도 옥천군 청성면 대안로4길 36-2,충청북도 옥천군 청성면 대안리 380,36.36444795,127.7269011,91.72
181,경로당+무더위심터,충청북도 옥천군 청성면 대안로5길 24-4,충청북도 옥천군 청성면 대안리 1096,36.3721285,127.7251972,82.76
182,경로당+무더위심터,충청북도 옥천군 청성면 도장3길 5,충청북도 옥천군 청성면 도장리 528-3,36.37445891,127.7335776,73.5
183,경로당+무더위심터,충청북도 옥천군 청성면 도장1길 49,충청북도 옥천군 청성면 도장리 110-1,36.37996955,127.7297689,96
184,경로당+무더위심터,충청북도 옥천군 청성면 능월3길 20,충청북도 옥천군 청성면 능월리 186-3,36.38079268,127.7366813,73.5
185,경로당+무더위심터,충청북도 옥천군 청성면 능월1길 67-21,충청북도 옥천군 청성면 능월리 480,36.38860232,127.7410707,85.7
186,경로당+무더위심터,충청북도 옥천군 청성면 능월2길 23,충청북도 옥천군 청성면 능월리 397-12,36.38912147,127.7319067,72
187,경로당+무더위심터,충청북도 옥천군 청성면 화성1길 14,충청북도 옥천군 청성면 화성리 176,36.34943013,127.7455104,89.7
188,경로당+무더위심터,충청북도 옥천군 청성면 화성2길 32-1,충청북도 옥천군 청성면 화성리 567-2,36.34338666,127.7374538,168
189,경로당+무더위심터,충청북도 옥천군 청성면 남부로 2843-11,충청북도 옥천군 청성면 화성리 286-5,36.34768433,127.7368346,56.42
190,경로당+무더위심터,충청북도 옥천군 청성면 장연길 172-1,충청북도 옥천군 청성면 장연리 328-1,36.3495345,127.7618798,70.5
191,경로당,충청북도 옥천군 청성면 장연길 447,충청북도 옥천군 청성면 장연리 55-1,36.36778801,127.7682737,93.58
192,경로당,충청북도 옥천군 청산면 백운길 20-7,충청북도 옥천군 청산면 백운리 311-1,36.34896237,127.7931229,105.5
193,경로당,충청북도 옥천군 청산면 지전길 32-13,충청북도 옥천군 청산면 지전리 31-4,36.34548095,127.7939755,52.8
194,경로당,충청북도 옥천군 청산면 지전2길 27,충청북도 옥천군 청산면 지전리 69-1,36.34670165,127.790525,247
195,경로당+무더위심터,충청북도 옥천군 청산면 지전2길 27,충청북도 옥천군 청산면 지전리 69-1,36.34670165,127.790525,84.42
196,경로당,충청북도 옥천군 청산면 교평길 26,충청북도 옥천군 청산면 교평리 264-4,36.34506459,127.7973229,114
197,경로당,충청북도 옥천군 청산면 교평길 26,충청북도 옥천군 청산면 교평리 264-4,36.34506459,127.7973229,114
198,경로당,충청북도 옥천군 청산면 하서1길 14,충청북도 옥천군 청산면 하서리 33,36.3460771,127.7831005,106.2
199,경로당,충청북도 옥천군 청산면 하서2길 14,충청북도 옥천군 청산면 하서리 370,36.34428188,127.7784842,66.75
200,경로당+무더위심터,충청북도 옥천군 청산면 신매길 15-2,충청북도 옥천군 청산면 신매리 363-7,36.31963719,127.7707639,98.4
201,경로당,충청북도 옥천군 청산면 대덕길 130-1,충청북도 옥천군 청산면 대덕리 255,36.30140701,127.7857321,85.62
202,경로당,충청북도 옥천군 청산면 신매길 200,충청북도 옥천군 청산면 대덕리 32,36.31378854,127.785305,132
203,경로당,충청북도 옥천군 청산면 장위길 124-1,충청북도 옥천군 청산면 장위리 410-1,36.32960145,127.7822424,145.11
204,경로당,충청북도 옥천군 청산면 장위3길 54-1,충청북도 옥천군 청산면 장위리 503,36.32467446,127.7854419,50
205,경로당,충청북도 옥천군 청산면 한곡길 50,충청북도 옥천군 청산면 한곡리 98-2,36.32077251,127.7928432,103.47
206,경로당,충청북도 옥천군 청산면 한곡1길 96,충청북도 옥천군 청산면 한곡리 369-3,36.31397732,127.7911558,94.6
207,경로당,충청북도 옥천군 청산면 인정길 130,충청북도 옥천군 청산면 인정리 583-1,36.32554052,127.7979525,90
208,경로당,충청북도 옥천군 청산면 판수2길 6,충청북도 옥천군 청산면 판수리 621,36.33195802,127.8092503,149.58
209,경로당,충청북도 옥천군 청산면 판수3길 48,충청북도 옥천군 청산면 판수리 539,36.32554039,127.8099748,88.83
210,경로당,충청북도 옥천군 청산면 효목2길 14,충청북도 옥천군 청산면 효목리 652-1,36.32381553,127.8178684,74.84
211,경로당,충청북도 옥천군 청산면 효목2길 169,충청북도 옥천군 청산면 효목리 858-2,36.31316589,127.824967,69.14
212,경로당,충청북도 옥천군 청산면 효목1길 69-9,충청북도 옥천군 청산면 효목리 143,36.32380951,127.8349527,79.78
213,경로당,충청북도 옥천군 청산면 의지길 255,충청북도 옥천군 청산면 의지리 136,36.32907577,127.8341669,74.25
214,경로당,충청북도 옥천군 청산면 의지1길 96,충청북도 옥천군 청산면 의지리 515-1,36.34123009,127.8304408,100.84
215,경로당,충청북도 옥천군 청산면 예곡1길 43,충청북도 옥천군 청산면 예곡리 371-6,36.35439268,127.8233706,74.3
216,경로당+무더위심터,충청북도 옥천군 청산면 예곡2길 8,충청북도 옥천군 청산면 예곡리 142-3,36.35519679,127.8307906,99.1
217,경로당,충청북도 옥천군 청산면 팔음로 337-3,충청북도 옥천군 청산면 삼방리 23-12,36.35541077,127.8470192,42
218,경로당,충청북도 옥천군 청산면 삼방길 12,충청북도 옥천군 청산면 삼방리 283,36.34110402,127.8493148,100
219,경로당,충청북도 옥천군 청산면 팔음로 502,충청북도 옥천군 청산면 명티리 276-6,36.35473862,127.8610737,75.5
220,경로당,충청북도 옥천군 청산면 법화갈전길 147,충청북도 옥천군 청산면 법화리 194-2,36.3662591,127.8420582,102.5
221,경로당,충청북도 옥천군 청산면 법화3길 81,충청북도 옥천군 청산면 법화리 53-2,36.36317473,127.8529075,54
222,경로당,충청북도 옥천군 청산면 대성길 1,충청북도 옥천군 청산면 대성리 159-3,36.37279993,127.8170877,143.17
223,경로당,충청북도 옥천군 청산면 만월로 368-13,충청북도 옥천군 청산면 만월리 577,36.38119611,127.7784868,77.18
224,경로당+무더위심터,충청북도 옥천군 청산면 만월로 1길 9,충청북도 옥천군 청산면 만월리 66-3,36.37623456,127.7892779,98.64
225,경로당,충청북도 옥천군 청산면 만월로1길 28,충청북도 옥천군 청산면 만월리 737-4,36.37675835,127.7894904,48.2
226,경로당+무더위심터,충청북도 옥천군 이원면 건진1길 26,충청북도 옥천군 이원면 건진리 363,36.25374821,127.6148358,215.63
227,경로당+무더위심터,충청북도 옥천군 이원면 건진3길 83,충청북도 옥천군 이원면 건진리 643-4,36.24881669,127.6081175,199.51
228,경로당+무더위심터,충청북도 옥천군 이원면 장찬길 376-18,충청북도 옥천군 이원면 장찬리 330,36.24589796,127.581413,65.67
229,경로당+무더위심터,충청북도 옥천군 이원면 강청4길 7-4,충청북도 옥천군 이원면 강청리 299-8,36.24102153,127.6107768,165.28
230,경로당+무더위심터,충청북도 옥천군 이원면 강청길 53,충청북도 옥천군 이원면 강청리 117-1,36.24410328,127.6130706,70.3
231,경로당+무더위심터,충청북도 옥천군 이원면 윤정1길 22,충청북도 옥천군 이원면 윤정리 99-4,36.23826516,127.6252765,83.38
232,경로당+무더위심터,충청북도 옥천군 이원면 윤정2길 96,충청북도 옥천군 이원면 윤정리 377-3,36.22588137,127.6187253,91.9
233,경로당+무더위심터,충청북도 옥천군 이원면 의평길 49,충청북도 옥천군 이원면 의평리 194-4,36.21327975,127.6254857,98.9
234,경로당+무더위심터,충청북도 옥천군 이원면 이원로 375,충청북도 옥천군 이원면 개심리 728-6,36.20652704,127.6307965,83
235,경로당+무더위심터,충청북도 옥천군 이원면 개심5길 17-1,충청북도 옥천군 이원면 개심리 957,36.19377419,127.6293545,232.41
236,경로당+무더위심터,충청북도 옥천군 이원면 평계1길 91-1,충청북도 옥천군 이원면 평계리 712-1,36.18835283,127.6438743,83.06
237,경로당+무더위심터,충청북도 옥천군 이원면 수묵2길 24,충청북도 옥천군 이원면 수묵리 254-1,36.19128014,127.6516544,65.52
238,경로당,충청북도 옥천군 이원면 수묵1길 33-1,충청북도 옥천군 이원면 수묵리 498,36.19562795,127.6435874,82.13
239,경로당+무더위심터,충청북도 옥천군 이원면 지정1길 5,충청북도 옥천군 이원면 지정리 356-3,36.2126001,127.6353169,91.3
240,경로당+무더위심터,충청북도 옥천군 이원면 미동3길 3,충청북도 옥천군 이원면 미동리 208-1,36.22266889,127.6374286,135.95
241,경로당+무더위심터,충청북도 옥천군 이원면 미동1길 84,충청북도 옥천군 이원면 미동리 361-1,36.23442297,127.6332957,119.5
242,경로당+무더위심터,충청북도 옥천군 이원면 이원4길 11,충청북도 옥천군 이원면 이원리 173-32,36.24134484,127.6347769,96.72
243,경로당+무더위심터,충청북도 옥천군 이원면 이원3길 42,충청북도 옥천군 이원면 이원리 199-1,36.24215972,127.6356875,129.4
244,경로당+무더위심터,충청북도 옥천군 이원면 이원2길 31-1,충청북도 옥천군 이원면 이원리 585-3,36.24413355,127.631438,84.71
245,경로당+무더위심터,충청북도 옥천군 이원면 원동1길 10,충청북도 옥천군 이원면 원동리 297-1,36.24174715,127.662693,119.62
246,경로당+무더위심터,충청북도 옥천군 이원면 원동3길 37,충청북도 옥천군 이원면 원동리 781,36.24165966,127.6567732,99.06
247,경로당,충청북도 옥천군 이원면 백지1길 31,충청북도 옥천군 이원면 백지리 425-4,36.23527569,127.6773038,72.42
248,경로당+무더위심터,충청북도 옥천군 이원면 백지2길 51,충청북도 옥천군 이원면 백지리 602-4,36.23286816,127.6795507,92
249,경로당,충청북도 옥천군 이원면 백지3길 44-3,충청북도 옥천군 이원면 백지리 831-2,36.23034441,127.6810402,92.84
250,경로당,충청북도 옥천군 이원면 지탄길 97,충청북도 옥천군 이원면 지탄리 968-7,36.24802677,127.6742658,85.23
251,경로당+무더위심터,충청북도 옥천군 이원면 지탄6길 6,충청북도 옥천군 이원면 지탄리 961-1,36.24729509,127.6854942,113.64
252,경로당+무더위심터,충청북도 옥천군 이원면 용방3길 92,충청북도 옥천군 이원면 용방리 160-1,36.25377249,127.6589867,159.05
253,경로당+무더위심터,충청북도 옥천군 이원면 용방2길 39,충청북도 옥천군 이원면 용방리 833,36.25289501,127.6422853,166.23
254,경로당+무더위심터,충청북도 옥천군 이원면 대흥3길 1-5,충청북도 옥천군 이원면 강청리 2-8,36.24778246,127.6244625,114.99
255,경로당+무더위심터,충청북도 옥천군 이원면 이원역길 28,충청북도 옥천군 이원면 강청리 52-4,36.24510778,127.6205426,200.56
256,경로당,충청북도 옥천군 이원면 이원역길 1-7,충청북도 옥천군 이원면 강청리 10-13,36.24521936,127.6241432,89.97
257,경로당+무더위심터,충청북도 옥천군 이원면 신흥3길 22,충청북도 옥천군 이원면 강청리 92-12,36.24583053,127.617948,157.95
258,경로당,충청북도 옥천군 이원면 지탄길 155,충청북도 옥천군 이원면 지탄리 904-1,36.2473452,127.6789368,58.65
259,경로당,충청북도 옥천군 이원면 윤정3길 11,충청북도 옥천군 이원면 윤정리 225-6,36.22672095,127.6263735,84.6
260,경로당,충청북도 옥천군 군서면 동평1길 7,충청북도 옥천군 군서면 동평리 491-10,36.2780858,127.5286121,48.88
261,경로당+무더위심터,충청북도 옥천군 군서면 동평1길 20,충청북도 옥천군 군서면 동평리 589-2,36.27885005,127.5293954,107.3
262,경로당,충청북도 옥천군 군서면 동평5길 17,충청북도 옥천군 군서면 동평리 410,36.26870616,127.5316102,85
263,경로당+무더위심터,충청북도 옥천군 군서면 동평4길 9-8,충청북도 옥천군 군서면 동평리 438-4,36.27301997,127.5277604,97.54
264,경로당+무더위심터,충청북도 옥천군 군서면 금산1길 20-3,충청북도 옥천군 군서면 금산리 451-4,36.26889938,127.5338983,82.36
265,경로당+무더위심터,충청북도 옥천군 군서면 금산3길 23,충청북도 옥천군 군서면 금산리 138-1,36.25067821,127.5468794,79.33
266,경로당,충청북도 옥천군 군서면 사정4길 3,충청북도 옥천군 군서면 사정리 313-4,36.26094555,127.520319,66
267,경로당,충청북도 옥천군 군서면 사정1길 18-5,충청북도 옥천군 군서면 사정리 75-1,36.26652297,127.5253291,86.1
268,경로당+무더위심터,충청북도 옥천군 군서면 상지1길 8-4,충청북도 옥천군 군서면 상지리 59,36.25405408,127.5121821,89.35
269,경로당,충청북도 옥천군 군서면 은행1길 23-6,충청북도 옥천군 군서면 은행리 246-5,36.27019195,127.5166817,90.3
270,경로당+무더위심터,충청북도 옥천군 군서면 은행3길 45,충청북도 옥천군 군서면 은행리 450-5,36.26479785,127.5161141,99.36
271,경로당,충청북도 옥천군 군서면 사양2길 4,충청북도 옥천군 군서면 사양리 430-1,36.27409284,127.5001611,94.54
272,경로당,충청북도 옥천군 군서면 상중길 92,충청북도 옥천군 군서면 상중리 326-3,36.28846046,127.5183369,83.74
273,경로당+무더위심터,충청북도 옥천군 군서면 상중1길 17,충청북도 옥천군 군서면 상중리 77,36.28667059,127.5226739,99
274,경로당+무더위심터,충청북도 옥천군 군서면 하동2길 11,충청북도 옥천군 군서면 하동리 103-4,36.29220098,127.5282832,85.68
275,경로당,충청북도 옥천군 군서면 하동2길 99,충청북도 옥천군 군서면 하동리 248-4,36.29424473,127.5195498,99.96
276,경로당+무더위심터,충청북도 옥천군 군서면 오동2길 172,충청북도 옥천군 군서면 오동리 559-4,36.30668836,127.5232505,67.22
